aX,aY,aZ,gX,gY,gZ
0.464,0.133,0.299,-135.193,-52.979,-127.075
0.502,0.113,0.294,-139.221,-57.190,-118.530
0.521,0.099,0.287,-141.296,-60.547,-110.962
0.526,0.083,0.284,-141.846,-63.904,-104.675
0.528,0.056,0.283,-141.541,-66.528,-98.999
0.533,0.016,0.281,-141.418,-67.078,-95.886
0.559,-0.054,0.279,-141.357,-67.200,-94.849
0.600,-0.134,0.271,-142.151,-66.406,-93.689
0.631,-0.200,0.252,-144.470,-64.453,-88.013
0.665,-0.223,0.220,-146.179,-62.622,-75.195
0.690,-0.219,0.182,-142.822,-63.171,-55.786
0.703,-0.185,0.151,-131.592,-66.711,-34.912
0.700,-0.140,0.153,-112.183,-74.585,-15.991
0.687,-0.098,0.193,-88.623,-86.304,-2.197
0.689,-0.094,0.264,-68.115,-98.389,5.737
0.721,-0.117,0.361,-56.458,-108.215,7.324
0.745,-0.146,0.451,-57.983,-115.234,5.615
0.770,-0.176,0.529,-70.374,-115.295,4.761
0.772,-0.182,0.580,-88.257,-111.938,5.798
0.773,-0.187,0.599,-105.774,-103.210,9.399
0.778,-0.169,0.589,-117.615,-87.769,14.893
0.788,-0.111,0.541,-120.667,-73.669,21.484
0.805,-0.039,0.480,-112.854,-65.430,29.663
0.852,0.018,0.435,-93.018,-64.148,33.936
0.792,0.017,0.445,-65.979,-67.322,32.043
0.803,-0.034,0.464,-40.771,-67.566,22.644
0.902,-0.127,0.509,-25.574,-65.552,10.254
0.844,-0.211,0.635,-26.001,-73.669,6.653
0.855,-0.228,0.655,-41.931,-80.688,13.245
0.853,-0.190,0.657,-63.049,-66.223,28.442
0.908,-0.055,0.593,-80.139,-45.776,51.270
0.913,0.075,0.509,-85.632,-37.842,74.341
0.903,0.217,0.430,-79.590,-36.072,89.661
0.921,0.308,0.342,-61.218,-33.386,95.154
0.947,0.347,0.269,-34.180,-35.889,90.759
0.979,0.356,0.254,-4.639,-42.664,73.181
1.030,0.367,0.325,25.146,-54.443,46.997
1.046,0.261,0.483,49.072,-71.350,17.639
1.060,0.126,0.635,57.007,-77.820,-3.845
1.063,0.032,0.721,49.927,-71.411,-13.672
1.091,-0.016,0.739,41.138,-59.265,-13.489
1.074,-0.035,0.739,40.955,-46.631,-7.812
1.120,-0.061,0.718,53.223,-36.255,-1.221
1.150,-0.127,0.718,75.317,-28.687,5.371
1.166,-0.231,0.744,98.633,-22.339,9.888
1.175,-0.342,0.769,111.572,-13.672,15.076
1.153,-0.412,0.779,108.215,-2.625,27.588
1.155,-0.380,0.745,93.323,12.451,47.913
1.090,-0.261,0.696,79.102,23.926,74.341
1.090,-0.073,0.647,74.951,26.123,102.051
1.069,0.125,0.647,86.914,18.433,125.671
1.046,0.304,0.705,110.657,8.972,137.512
0.998,0.411,0.818,134.766,0.732,141.663
0.969,0.477,0.950,146.179,-3.723,140.747
0.976,0.509,1.052,137.634,-1.770,136.719
0.927,0.552,1.119,110.046,9.094,130.371
0.857,0.644,1.114,73.425,29.968,121.460
0.796,0.778,1.039,44.067,50.354,116.028
0.756,0.927,0.932,35.217,62.744,116.394
0.738,1.056,0.854,49.194,68.970,117.493
0.707,1.128,0.837,77.332,67.017,115.662
0.682,1.163,0.849,104.309,65.491,109.497
0.638,1.166,0.847,119.568,70.374,100.891
0.606,1.168,0.789,119.629,83.374,91.309
0.587,1.156,0.722,108.154,94.910,83.862
0.583,1.145,0.673,87.769,93.750,81.238
1.212,1.213,0.667,26.428,-158.081,-89.783
1.308,1.283,0.916,8.423,-200.317,-77.148
1.344,1.367,1.199,-0.977,-232.361,-67.139
1.275,1.389,1.516,3.479,-247.559,-65.735
1.227,1.302,1.802,13.489,-229.919,-80.627
1.132,1.119,1.971,18.188,-169.128,-113.586
1.041,0.850,1.907,11.963,-71.960,-159.607
0.904,0.528,1.551,-0.854,43.396,-207.092
0.778,0.244,1.034,-12.695,151.428,-242.371
0.631,0.006,0.477,-14.526,231.812,-260.437
0.687,-0.148,0.143,-3.113,288.025,-263.733
0.575,-0.238,-0.505,18.005,279.907,-252.625
0.604,-0.257,-0.503,56.824,249.756,-230.530
0.650,-0.312,-0.826,88.989,181.335,-201.904
0.633,-0.418,-0.789,109.741,101.257,-158.447
0.699,-0.477,-0.677,102.112,39.368,-117.859
0.745,-0.472,-0.516,67.139,-8.301,-82.825
0.790,-0.395,-0.378,19.409,-50.293,-56.458
0.785,-0.334,-0.368,-19.897,-98.389,-38.147
0.827,-0.334,0.025,-37.964,-123.718,-19.409
0.865,-0.246,0.268,-47.852,-128.296,0.305
0.899,-0.140,0.444,-51.514,-140.564,29.053
0.918,-0.010,0.604,-44.739,-147.339,60.303
0.905,0.148,0.819,-31.921,-141.113,86.609
0.933,0.220,0.922,-19.775,-120.361,105.957
0.896,0.458,0.998,-11.108,-88.196,109.009
0.897,0.584,1.005,0.427,-56.091,99.670
0.879,0.637,0.983,11.658,-26.245,85.938
0.853,0.649,0.916,15.808,1.465,68.481
0.817,0.637,0.796,12.146,28.503,49.866
0.780,0.609,0.652,4.944,54.504,33.752
0.742,0.579,0.501,-1.221,73.853,21.667
0.723,0.543,0.363,-2.747,83.008,13.672
0.712,0.506,0.243,-0.244,83.191,8.484
0.704,0.472,0.158,4.395,77.209,5.249
0.706,0.440,0.099,7.507,66.956,4.272
0.709,0.419,0.062,7.629,53.833,5.493
0.718,0.415,0.045,5.493,38.269,8.362
0.733,0.426,0.058,2.380,19.958,12.024
0.746,0.447,0.119,0.122,0.488,15.503
0.759,0.480,0.211,-2.441,-16.235,18.860
0.771,0.519,0.306,-5.615,-27.344,21.301
0.780,0.569,0.394,-7.812,-31.433,22.156
0.795,0.608,0.462,-8.423,-30.457,20.874
0.803,0.632,0.502,-7.629,-24.536,16.724
0.808,0.634,0.523,-4.822,-14.832,8.545
0.812,0.614,0.519,-2.075,-2.991,-0.793
0.813,0.577,0.483,-1.343,8.545,-9.399
0.810,0.528,0.423,-1.282,17.639,-16.296
0.803,0.479,0.360,-0.549,22.522,-21.362
0.800,0.434,0.312,1.160,23.193,-23.193
0.795,0.396,0.279,3.601,20.569,-22.583
0.792,0.368,0.259,6.287,16.296,-19.775
0.794,0.349,0.244,7.996,12.207,-15.747
0.792,0.341,0.240,8.911,7.263,-11.597
0.789,0.347,0.252,9.094,2.502,-7.202
0.795,0.366,0.276,8.850,-1.648,-2.563
0.804,0.394,0.307,6.470,-5.859,1.465
0.809,0.424,0.333,1.465,-9.216,5.005
0.818,0.450,0.352,-3.174,-11.108,5.676
0.813,0.464,0.373,-5.310,-12.756,3.967
0.806,0.468,0.400,-4.517,-13.306,1.160
0.810,0.458,0.434,-1.953,-12.878,-1.099
0.808,0.449,0.460,-0.854,-9.827,-2.136
0.806,0.446,0.456,-1.709,-3.845,-3.052
0.803,0.441,0.424,-1.587,3.235,-4.456
0.801,0.428,0.384,1.160,8.362,-5.859
0.797,0.406,0.350,5.554,9.949,-6.775
0.796,0.385,0.333,9.583,8.911,-6.409
0.800,0.368,0.331,11.047,5.737,-4.150
0.800,0.363,0.335,8.545,3.052,-1.587
0.802,0.367,0.336,3.906,1.526,0.366
0.801,0.375,0.334,-0.244,0.977,2.502
0.803,0.383,0.330,-1.953,0.183,4.089
0.804,0.392,0.332,-0.549,-1.160,5.371
0.803,0.397,0.347,2.808,-3.418,6.592
0.803,0.403,0.364,5.066,-4.944,8.057
0.806,0.411,0.375,5.249,-5.188,9.644
0.804,0.425,0.380,3.906,-4.272,10.681
0.803,0.441,0.380,1.465,-2.869,11.475
0.802,0.454,0.375,-0.061,-1.892,11.169
0.794,0.462,0.374,0.000,-1.831,9.521
0.794,0.460,0.375,1.465,-1.831,7.385
0.791,0.456,0.382,3.174,-2.380,5.371
0.787,0.451,0.389,3.845,-2.808,4.211
0.785,0.445,0.386,3.601,-1.404,3.357
0.785,0.439,0.377,2.502,0.122,2.747
0.781,0.437,0.369,1.892,0.427,2.441
0.782,0.436,0.372,2.075,0.122,2.869
0.782,0.439,0.375,1.709,-0.427,4.211
0.784,0.447,0.372,0.549,-0.671,5.127
0.783,0.453,0.372,-0.366,-1.160,4.822
0.783,0.453,0.375,-0.732,-1.953,3.723
0.783,0.448,0.382,-0.549,-3.052,2.197
0.782,0.443,0.386,-0.793,-2.991,1.221
0.782,0.439,0.387,-0.916,-2.747,0.916
0.784,0.434,0.388,-0.305,-1.831,0.671
0.783,0.430,0.384,0.610,-1.404,0.610
0.785,0.426,0.382,2.075,-1.221,0.854
0.783,0.424,0.386,3.662,-1.526,1.221
0.788,0.423,0.391,4.517,-1.892,2.075
0.785,0.425,0.401,4.761,-2.136,3.174
0.785,0.431,0.406,3.784,-2.136,3.845
0.786,0.438,0.402,1.953,-1.282,3.967
0.781,0.444,0.399,1.099,-0.610,3.601
0.781,0.445,0.401,1.465,-1.221,2.869
0.774,0.446,0.407,2.563,-2.014,1.892
0.774,0.442,0.411,2.441,-1.404,1.892
0.772,0.443,0.408,1.221,0.183,1.892
0.773,0.444,0.402,-0.427,1.587,1.831
0.770,0.446,0.388,-0.854,2.075,1.770
0.774,0.450,0.378,0.183,1.404,0.916
0.772,0.435,0.385,2.502,-0.305,-0.366
0.774,0.426,0.392,3.784,-0.549,-0.549
0.774,0.425,0.389,3.174,-0.610,0.061
0.775,0.425,0.395,2.686,-0.854,1.282
0.779,0.427,0.403,1.953,-1.099,2.563
0.777,0.437,0.412,0.244,-1.587,3.418
0.779,0.450,0.416,-1.221,-1.526,4.272
1.296,0.561,0.785,43.884,99.365,159.302
1.231,0.651,0.737,65.857,121.521,164.551
1.161,0.730,0.669,66.284,140.442,174.072
1.055,0.834,0.583,47.607,151.611,182.251
0.933,0.942,0.523,17.944,153.137,188.110
0.791,1.093,0.485,-15.015,143.921,192.322
0.660,1.289,0.450,-44.739,133.240,199.097
0.518,1.504,0.402,-65.002,126.892,206.787
0.415,1.698,0.349,-72.327,126.892,211.243
0.272,1.839,0.296,-69.885,131.348,210.205
0.195,2.035,0.215,-62.927,137.939,197.998
0.157,2.139,0.121,-53.955,137.512,173.157
0.153,2.128,0.071,-47.729,131.531,138.794
0.175,2.019,0.046,-52.185,123.962,96.436
0.160,1.885,0.008,-69.031,117.493,51.331
0.174,1.722,-0.036,-88.684,114.563,11.658
0.175,1.576,-0.091,-101.135,114.685,-18.433
0.203,1.404,-0.156,-102.417,117.920,-41.138
0.208,1.226,-0.177,-96.069,120.300,-59.387
0.211,1.089,-0.216,-94.849,123.230,-67.322
0.222,0.998,-0.275,-99.854,124.207,-65.735
0.214,0.953,-0.352,-106.689,124.451,-60.547
0.206,0.934,-0.440,-112.061,125.122,-54.077
0.179,0.941,-0.436,-115.234,125.000,-49.255
0.142,0.974,-0.451,-119.690,116.516,-43.823
0.105,1.018,-0.480,-121.521,99.060,-39.185
0.053,1.063,-0.496,-115.784,83.313,-39.856
0.039,1.070,-0.494,-104.736,73.486,-46.265
-0.003,1.059,-0.473,-93.811,66.406,-56.091
-0.032,1.027,-0.482,-87.524,62.927,-66.101
-0.058,0.998,-0.484,-84.900,62.195,-75.195
-0.054,0.951,-0.486,-82.703,57.983,-84.351
-0.040,0.897,-0.489,-80.139,49.072,-92.468
-0.050,0.858,-0.495,-76.477,35.950,-98.633
-0.051,0.823,-0.475,-69.580,19.165,-101.746
-0.035,0.781,-0.440,-61.707,-1.404,-100.952
-0.004,0.737,-0.389,-56.885,-19.653,-97.778
0.037,0.700,-0.334,-57.556,-34.241,-94.055
0.055,0.687,-0.281,-62.317,-46.265,-92.163
0.081,0.659,-0.245,-67.627,-55.420,-91.675
0.106,0.625,-0.215,-72.388,-62.988,-92.102
0.123,0.597,-0.205,-75.928,-67.261,-93.018
0.133,0.565,-0.186,-77.942,-65.796,-92.285
0.141,0.546,-0.178,-79.102,-62.073,-90.454
0.137,0.539,-0.179,-78.857,-56.335,-86.670
0.142,0.539,-0.199,-77.881,-50.659,-82.031
0.157,0.545,-0.224,-76.477,-48.340,-77.515
0.179,0.563,-0.244,-75.745,-51.880,-72.449
0.192,0.587,-0.263,-75.867,-61.523,-69.458
0.218,0.589,-0.252,-76.904,-74.524,-70.496
0.232,0.584,-0.210,-81.299,-88.867,-75.562
0.238,0.564,-0.166,-90.393,-99.670,-82.581
0.251,0.546,-0.151,-101.563,-107.483,-90.942
0.249,0.510,-0.148,-109.009,-113.770,-100.159
0.285,0.467,-0.169,-109.192,-116.638,-109.985
0.670,0.394,-0.112,-101.807,-116.760,-117.859
0.223,0.341,0.158,-96.802,-126.709,-97.412
0.432,0.321,0.122,-105.957,-113.098,-55.481
0.578,0.425,0.026,-111.938,-83.069,-29.114
0.514,0.502,0.023,-104.309,-84.717,-28.625
0.444,0.489,0.067,-86.487,-91.064,-36.926
0.430,0.433,0.088,-75.806,-80.933,-51.941
0.429,0.382,0.075,-83.130,-62.256,-66.528
0.414,0.328,0.045,-100.281,-39.246,-69.641
0.459,0.334,-0.096,-111.694,-19.226,-64.270
0.486,0.347,-0.298,-98.389,-14.343,-73.608
0.485,0.232,-0.341,-47.546,-41.382,-94.543
0.596,0.034,-0.287,18.738,-82.214,-114.380
0.554,-0.147,-0.116,72.876,-126.404,-128.967
0.546,-0.357,0.126,98.816,-151.794,-137.390
0.651,-0.487,0.229,88.806,-138.611,-132.935
0.688,-0.472,0.262,56.091,-116.455,-121.155
0.673,-0.457,0.243,19.836,-96.008,-97.656
0.651,-0.405,0.236,-9.216,-69.397,-62.805
0.690,-0.378,0.144,-29.419,-52.979,-18.250
0.675,-0.278,0.075,-38.269,-49.866,15.259
0.674,-0.163,0.029,-34.424,-48.584,37.598
0.686,-0.071,0.006,-23.926,-46.204,54.565
0.677,0.053,0.019,-14.465,-45.105,73.608
0.618,-0.101,0.058,-9.705,-48.950,99.121
0.738,0.120,0.027,-13.794,-54.626,100.098
0.724,0.176,0.054,-16.541,-66.345,71.838
0.776,0.133,0.109,-16.052,-75.806,41.382
0.734,0.044,0.172,-20.935,-81.543,18.188
0.728,-0.036,0.182,-32.715,-77.026,4.639
0.734,-0.095,0.126,-44.495,-66.223,2.930
0.747,-0.151,0.076,-46.631,-56.519,10.193
0.781,-0.217,0.070,-39.978,-55.603,20.630
0.766,-0.284,0.132,-33.936,-63.904,35.095
0.750,-0.325,0.208,-37.964,-72.632,54.138
0.735,-0.313,0.254,-53.284,-75.073,74.219
0.729,-0.267,0.271,-72.510,-71.960,91.736
0.737,-0.201,0.265,-85.876,-68.481,104.919
0.776,-0.157,0.247,-85.083,-68.115,112.000
0.783,-0.133,0.246,-68.237,-68.298,112.488
0.819,-0.160,0.252,-39.673,-68.054,106.567
0.861,-0.217,0.287,-7.446,-66.895,96.863
0.900,-0.272,0.325,20.630,-67.261,88.135
0.923,-0.307,0.364,41.809,-65.796,85.876
0.933,-0.297,0.390,56.763,-60.791,92.651
0.950,-0.228,0.407,67.322,-55.603,106.262
0.960,-0.107,0.401,76.965,-55.786,122.009
1.012,0.019,0.387,88.501,-60.547,132.568
1.048,0.080,0.397,101.746,-67.322,134.033
1.109,0.107,0.383,110.962,-69.763,125.366
1.147,0.110,0.399,112.610,-65.918,107.666
1.194,0.065,0.396,104.370,-65.857,86.243
1.105,-0.012,0.411,85.388,-61.035,69.641
1.087,-0.044,0.350,60.120,-56.580,69.031
1.090,-0.017,0.312,40.710,-56.946,79.041
1.000,0.033,0.379,33.508,-73.425,93.811
1.030,0.126,0.498,35.034,-97.839,112.122
1.049,0.212,0.687,42.236,-119.873,132.019
1.087,0.280,0.839,45.837,-136.658,144.897
1.112,0.343,0.999,43.823,-135.986,144.104
1.110,0.405,1.093,36.194,-117.065,135.986
1.084,0.469,1.104,31.799,-81.055,123.962
1.071,0.529,1.036,44.495,-32.043,107.056
1.074,0.538,0.920,79.651,10.864,90.088
1.112,0.565,1.174,53.894,-47.119,166.382
1.031,0.688,1.296,14.893,-49.744,175.476
0.964,0.801,1.344,-11.047,-35.828,175.659
0.901,0.889,1.341,-19.226,-8.789,171.997
0.811,0.972,1.302,-9.460,18.555,166.748
0.736,1.039,1.244,13.000,46.509,161.133
0.671,1.082,1.166,38.757,72.571,157.837
0.604,1.110,1.067,55.481,94.482,154.724
0.518,1.116,0.970,57.495,111.633,148.743
0.416,1.115,0.891,43.640,124.512,139.709
0.339,1.105,0.797,19.836,136.841,129.944
0.250,1.133,0.679,-3.418,150.696,122.620
0.170,1.186,0.558,-15.869,163.208,118.774
0.124,1.265,0.429,-12.451,169.434,118.469
0.125,1.326,0.333,4.700,166.809,118.530
0.120,1.337,0.285,26.672,154.297,115.845
0.178,1.347,0.231,41.199,134.094,103.088
0.240,1.272,0.283,43.518,111.877,81.848
0.284,1.120,0.392,29.358,91.736,56.335
0.282,0.938,0.478,0.000,84.167,32.166
0.257,0.777,0.493,-32.654,92.102,15.808
0.223,0.688,0.433,-52.734,108.337,13.123
0.203,0.685,0.334,-50.354,124.084,24.841
0.235,0.766,0.226,-23.132,132.812,47.180
0.260,0.929,0.187,21.973,127.197,75.134
0.323,1.130,0.222,70.251,109.741,100.647
0.372,1.277,0.340,104.004,87.891,114.014
0.391,1.346,0.482,109.375,70.313,110.229
0.424,1.326,0.586,83.618,61.646,89.111
0.432,1.222,0.651,35.522,57.007,59.448
0.425,1.093,0.691,-22.766,57.922,32.166
0.389,1.001,0.691,-73.914,58.105,18.372
0.366,0.990,0.671,-99.365,60.791,19.836
0.384,1.042,0.641,-90.576,66.895,31.067
0.402,1.129,0.639,-51.636,71.838,45.227
0.417,1.190,0.677,-0.549,77.026,55.908
0.403,1.196,0.711,37.842,84.534,60.791
0.375,1.180,0.710,46.936,98.511,60.181
0.314,1.179,0.635,27.832,114.929,57.251
0.269,1.180,0.487,-3.357,129.272,55.237
0.241,1.175,0.326,-29.663,136.963,54.565
0.221,1.186,0.209,-45.227,137.268,56.213
0.217,1.224,0.075,-52.124,126.404,62.378
0.192,1.293,-0.010,-49.866,113.342,69.824
0.180,1.371,-0.049,-41.748,99.060,74.402
0.187,1.431,-0.043,-33.630,83.679,74.341
0.212,1.441,-0.009,-31.921,70.435,68.054
0.212,1.417,0.014,-41.504,60.974,54.260
0.250,1.354,0.005,-60.913,56.885,34.668
0.271,1.281,-0.024,-83.374,52.795,14.954
0.253,1.182,-0.014,-101.074,45.898,-1.038
0.277,1.113,-0.028,-112.854,40.955,-9.644
0.269,1.085,-0.024,-115.112,37.354,-10.803
0.250,1.094,-0.019,-107.910,37.415,-8.240
0.241,1.123,-0.039,-94.849,43.213,-6.042
0.225,1.168,-0.082,-78.735,50.354,-9.521
0.235,1.168,-0.104,-63.354,52.490,-19.226
0.224,1.129,-0.100,-56.580,51.270,-31.616
0.219,1.075,-0.109,-63.538,49.133,-43.762
0.201,1.010,-0.126,-79.773,44.922,-55.603
0.174,0.971,-0.152,-98.877,40.588,-65.002
0.129,0.956,-0.175,-111.816,34.851,-69.702
0.107,0.957,-0.177,-114.319,26.794,-69.885
-0.005,0.946,-0.131,-107.239,18.311,-63.354
0.043,0.974,-0.165,-94.421,10.986,-50.659
0.019,1.026,-0.162,-78.430,6.165,-49.683
0.027,1.026,-0.111,-63.721,-2.747,-57.739
0.004,0.988,-0.034,-58.777,-14.099,-63.538
0.015,0.961,0.015,-69.031,-21.057,-68.054
0.018,0.951,0.047,-89.478,-22.705,-72.937
0.003,0.949,0.056,-111.450,-25.391,-76.172
-0.020,0.963,0.047,-126.099,-29.419,-78.491
-0.044,0.981,0.035,-128.906,-32.104,-82.092
-0.064,0.995,0.023,-119.812,-34.241,-87.158
-0.066,0.981,0.023,-100.952,-37.537,-92.468
-0.049,0.987,0.043,-78.369,-43.274,-98.083
-0.045,0.954,0.079,-59.631,-46.631,-104.675
-0.011,0.897,0.094,-48.706,-47.974,-109.741
0.048,0.825,0.093,-45.044,-44.983,-116.089
0.115,0.752,0.096,-46.387,-40.894,-125.732
0.164,0.670,0.106,-51.636,-39.917,-136.108
0.204,0.590,0.122,-59.509,-42.908,-141.174
0.254,0.517,0.138,-69.336,-46.204,-138.733
0.268,0.478,0.148,-79.773,-46.570,-129.333
0.291,0.459,0.143,-88.074,-44.434,-113.037
0.324,0.455,0.128,-95.215,-38.086,-94.116
0.336,0.486,0.084,-104.248,-29.907,-76.294
0.344,0.530,0.021,-111.816,-20.630,-62.988
0.359,0.557,-0.045,-114.136,-13.123,-56.152
0.369,0.563,-0.112,-110.352,-11.230,-57.373
0.397,0.538,-0.162,-100.830,-14.526,-65.979
0.403,0.482,-0.189,-87.585,-21.790,-78.308
0.450,0.400,-0.201,-73.486,-29.968,-91.675
0.466,0.307,-0.196,-61.401,-37.598,-101.868
0.518,0.226,-0.196,-52.551,-41.931,-106.567
0.554,0.155,-0.197,-46.204,-44.495,-104.187
0.587,0.085,-0.203,-41.870,-45.654,-97.168
0.598,0.021,-0.205,-39.185,-46.387,-88.135
0.597,-0.029,-0.193,-39.551,-45.959,-78.186
0.586,-0.057,-0.181,-44.128,-45.166,-65.674
0.591,-0.064,-0.178,-52.124,-46.082,-49.255
0.581,-0.050,-0.191,-60.913,-48.035,-30.701
0.595,-0.020,-0.208,-66.467,-50.354,-13.733
0.611,0.005,-0.215,-66.895,-54.443,0.244
0.620,0.020,-0.213,-63.232,-59.204,10.620
0.644,0.025,-0.199,-57.739,-63.232,16.479
0.646,0.021,-0.174,-51.270,-67.810,19.470
0.649,0.019,-0.149,-45.349,-70.068,21.301
0.620,0.021,-0.121,-40.466,-69.458,24.536
0.594,0.035,-0.110,-37.292,-66.162,28.870
0.596,0.048,-0.120,-34.851,-63.477,34.058
0.624,0.058,-0.135,-31.677,-64.819,37.903
0.661,0.054,-0.123,-27.893,-70.496,40.283
0.705,0.042,-0.089,-26.428,-80.017,42.480
0.740,0.029,-0.044,-29.663,-89.661,45.898
0.758,0.014,0.006,-37.476,-94.177,50.354
0.767,-0.010,0.035,-48.828,-91.858,55.298
0.764,-0.028,0.035,-61.401,-85.510,60.425
0.786,-0.031,0.013,-70.618,-77.881,64.392
0.894,0.796,0.854,123.474,-31.128,163.635
0.843,0.820,0.873,92.957,-30.762,148.621
0.796,0.844,0.923,66.711,-31.433,135.559
0.744,0.883,0.971,47.729,-32.227,132.385
0.731,0.926,1.015,36.743,-32.715,136.230
0.720,0.953,1.081,35.034,-32.776,140.991
0.706,0.959,1.130,41.077,-27.527,138.062
0.668,0.943,1.174,50.964,-10.864,128.723
0.650,0.911,1.176,57.983,11.353,121.460
0.618,0.906,1.137,59.021,34.790,119.690
0.571,0.948,1.083,55.786,53.894,123.535
0.450,1.058,1.012,51.514,67.139,131.287
0.393,1.198,0.937,51.697,78.430,141.846
0.318,1.333,0.861,54.871,82.886,153.015
0.244,1.457,0.771,53.284,85.693,158.020
0.296,1.519,0.692,45.593,87.463,151.062
0.381,1.493,0.669,32.104,78.064,130.920
0.381,1.406,0.696,11.475,63.660,100.281
0.380,1.253,0.727,-13.245,61.218,67.017
0.407,1.077,0.767,-35.767,59.998,47.974
0.372,0.946,0.810,-55.115,58.289,44.250
0.318,0.885,0.827,-70.557,65.369,50.293
0.264,0.891,0.826,-78.186,80.444,62.622
0.203,0.943,0.800,-76.111,98.389,78.430
0.146,1.038,0.736,-66.406,121.033,90.088
0.099,1.167,0.655,-47.607,142.761,93.262
0.068,1.266,0.589,-19.165,158.936,88.989
0.053,1.311,0.527,9.888,168.762,75.623
0.004,1.297,0.469,30.334,176.758,55.176
-0.056,1.262,0.395,35.645,190.247,33.691
-0.135,1.274,0.335,29.419,207.642,19.165
-0.144,1.296,0.161,22.522,210.327,14.648
-0.130,1.368,0.065,24.170,196.411,17.517
-0.106,1.464,0.058,35.339,168.945,20.752
-0.042,1.531,0.131,52.551,140.869,17.822
0.041,1.520,0.234,66.223,123.047,4.517
0.104,1.432,0.329,65.369,117.432,-16.602
0.143,1.302,0.362,47.058,122.559,-37.415
0.153,1.176,0.339,20.203,131.836,-49.805
0.175,1.088,0.275,1.160,137.024,-50.598
0.178,1.059,0.243,0.610,135.864,-42.053
0.216,1.073,0.242,15.625,129.639,-26.489
0.280,1.119,0.284,37.170,117.004,-7.874
0.327,1.189,0.372,53.223,102.905,7.690
0.349,1.253,0.473,53.467,92.651,19.592
0.357,1.318,0.543,36.438,89.722,24.170
0.354,1.371,0.572,10.315,94.971,20.386
0.344,1.388,0.558,-16.479,103.638,10.010
0.325,1.354,0.513,-36.865,112.366,-3.296
0.297,1.279,0.464,-45.532,119.446,-16.357
0.289,1.173,0.381,-44.189,126.648,-23.987
0.256,1.119,0.292,-38.940,134.521,-25.269
0.237,1.116,0.194,-33.203,137.024,-16.663
0.213,1.149,0.104,-29.297,135.437,-3.845
0.199,1.194,0.027,-29.663,128.784,6.042
0.202,1.243,-0.017,-35.522,119.385,9.277
0.215,1.266,-0.023,-46.204,104.492,7.629
0.245,1.253,-0.005,-61.829,86.914,2.319
0.260,1.217,0.019,-80.933,72.876,-6.348
0.266,1.171,0.028,-97.961,65.369,-16.418
0.256,1.134,0.023,-106.079,63.660,-23.926
0.228,1.113,0.006,-102.356,64.941,-27.466
0.209,1.114,-0.012,-89.905,68.481,-28.381
0.184,1.143,-0.035,-75.012,71.472,-28.137
0.147,1.171,-0.069,-64.392,72.510,-28.625
0.155,1.181,-0.097,-59.937,72.021,-33.752
0.143,1.169,-0.106,-61.584,66.162,-42.297
0.161,1.132,-0.098,-68.726,56.763,-53.711
0.158,1.061,-0.082,-80.017,45.166,-64.453
0.173,0.979,-0.065,-93.262,36.133,-74.341
0.165,0.883,-0.059,-105.103,29.602,-81.482
0.173,0.794,-0.063,-112.000,27.283,-86.853
0.171,0.714,-0.072,-112.610,26.855,-90.149
0.167,0.662,-0.069,-109.009,27.283,-90.881
0.145,0.656,-0.071,-104.797,28.015,-87.830
0.122,0.686,-0.089,-99.670,27.161,-80.078
0.112,0.723,-0.122,-91.919,25.635,-69.702
0.116,0.772,-0.158,-79.834,21.545,-61.707
0.129,0.801,-0.168,-66.345,12.634,-58.716
0.157,0.808,-0.160,-57.739,0.854,-60.425
0.207,0.789,-0.146,-56.946,-12.756,-65.369
0.250,0.748,-0.135,-62.317,-28.564,-70.679
0.271,0.697,-0.121,-70.007,-46.875,-75.562
0.272,0.647,-0.100,-75.500,-63.477,-78.735
0.246,0.605,-0.058,-75.439,-76.416,-77.637
0.239,0.604,-0.025,-71.594,-79.651,-74.158
0.216,0.620,0.005,-65.918,-73.303,-71.106
0.233,0.619,0.010,-60.608,-61.462,-65.613
0.273,0.621,-0.000,-58.105,-49.072,-57.739
0.326,0.623,-0.021,-57.190,-41.016,-51.636
0.368,0.617,-0.037,-56.091,-38.940,-49.683
0.406,0.612,-0.035,-53.955,-41.870,-53.162
0.396,0.586,-0.010,-51.514,-46.265,-58.350
0.395,0.536,0.026,-51.697,-46.753,-62.866
0.401,0.498,0.038,-58.350,-39.490,-62.195
0.426,0.486,0.019,-69.214,-29.358,-56.641
0.415,0.501,-0.002,-79.529,-20.752,-49.377
0.413,0.524,-0.036,-86.609,-15.320,-42.480
0.428,0.550,-0.082,-89.417,-12.451,-38.635
0.437,0.570,-0.128,-86.853,-14.282,-39.856
0.454,0.564,-0.161,-78.491,-21.973,-47.119
0.449,0.542,-0.173,-66.406,-34.668,-58.960
0.424,0.506,-0.171,-52.795,-49.500,-72.510
0.413,0.463,-0.167,-39.307,-61.768,-85.693
0.381,0.399,-0.121,-27.771,-70.374,-97.534
0.395,0.312,-0.064,-23.193,-73.608,-104.248
0.392,0.246,-0.025,-29.785,-72.510,-104.187
0.422,0.168,0.002,-42.847,-68.054,-98.816
0.455,0.089,0.005,-59.082,-60.852,-85.205
0.477,0.044,-0.008,-75.623,-54.382,-65.674
0.484,0.040,-0.031,-88.440,-47.485,-46.631
0.481,0.050,-0.054,-93.140,-43.091,-28.442
