aX,aY,aZ,gX,gY,gZ
0.078,1.728,1.049,79.590,-57.800,53.284
0.071,1.662,1.122,83.557,-41.077,24.841
0.065,1.568,1.158,88.074,-25.818,1.282
0.080,1.459,1.172,94.238,-12.695,-16.785
0.125,1.333,1.181,102.051,-1.709,-30.212
0.175,1.209,1.188,106.628,4.211,-38.452
0.211,1.113,1.188,103.149,7.019,-41.931
0.235,1.029,1.176,92.773,8.545,-41.992
0.282,0.959,1.160,76.599,10.620,-40.100
0.295,0.909,1.135,59.875,10.010,-38.879
0.278,0.863,1.119,46.814,9.949,-39.063
0.267,0.814,1.093,38.208,10.498,-38.391
0.262,0.762,1.063,33.447,13.245,-36.377
0.250,0.716,1.023,31.494,17.944,-33.081
0.235,0.678,0.974,31.494,23.132,-28.625
0.230,0.650,0.932,32.532,28.198,-23.987
0.219,0.627,0.892,32.837,30.151,-19.836
0.204,0.611,0.853,31.311,30.212,-16.541
0.202,0.595,0.817,28.687,31.311,-12.756
0.203,0.589,0.782,25.513,32.227,-8.362
0.204,0.592,0.747,21.912,31.067,-4.944
0.202,0.593,0.722,18.982,28.625,-2.258
0.206,0.599,0.693,16.235,26.550,-0.366
0.205,0.608,0.673,13.733,25.391,2.136
0.201,0.623,0.656,12.207,23.560,4.578
0.201,0.632,0.650,11.780,21.240,5.615
0.192,0.641,0.645,12.390,18.555,5.310
0.184,0.655,0.638,13.184,18.982,5.371
0.190,0.666,0.623,13.733,22.034,5.676
0.193,0.674,0.610,14.160,23.315,4.272
0.194,0.671,0.606,14.648,21.790,1.770
0.199,0.664,0.607,13.428,18.616,-0.366
0.201,0.648,0.620,11.108,15.198,-1.526
0.205,0.641,0.622,6.836,12.146,-1.465
0.216,0.646,0.624,1.648,10.559,-0.610
0.226,0.649,0.626,-3.113,7.263,0.488
0.229,0.650,0.639,-6.653,2.747,0.183
0.233,0.647,0.656,-8.850,-0.183,-0.244
0.227,0.654,0.674,-10.620,-1.770,-0.549
0.220,0.665,0.684,-11.658,-1.587,-0.488
0.232,0.670,0.686,-10.803,0.916,-0.488
0.239,0.667,0.686,-7.874,3.357,-1.221
0.238,0.663,0.690,-3.479,5.066,-2.197
0.236,0.656,0.696,0.244,6.104,-3.174
0.229,0.658,0.692,2.930,7.141,-2.869
0.233,0.661,0.678,5.005,9.155,-2.136
0.237,0.657,0.680,6.897,8.972,-2.563
0.243,0.644,0.697,7.263,5.005,-3.662
0.251,0.628,0.722,4.761,0.793,-4.395
